Angle (Degrees) DistIR (cm)     Dist PING (cm) 
72              61.86           54.34          
70              62.43           61.74          
68              61.36           71.96          
66              60.94           79.71          
64              59.10           84.06          
62              57.81           85.82          
60              56.07           86.14          
58              57.36           81.30          
56              60.45           80.92          
54              62.01           82.15          
52              63.99           83.51          
50              65.64           78.15          
48              67.23           78.64          
46              68.27           65.35          
44              68.08           65.58          
42              67.33           53.19          
40              66.52           47.90          
38              65.22           39.59          
36              64.12           39.95          
34              63.88           41.81          
32              63.69           38.13          
30              63.14           33.58          
28              62.86           30.84          
26              61.99           29.07          
24              60.99           29.17          
22              59.17           28.58          
20              58.79           26.81          
18              58.96           25.53          
16              58.95           24.60          
14              57.49           23.95          
12              50.49           23.60          
10              39.06           23.60          
8               29.39           23.64          
6               23.57           23.62          
4               21.05           23.57          
2               13.20           15.70          
0               23.76           23.75          
Object#    Angle      Distance   Width     

Count: 0
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             85.00           85.00          
178             113.33          113.33         
176             113.33          113.33         
174             103.89          97.72          
172             94.44           88.28          
170             88.15           82.53          
168             85.00           81.44          
166             83.95           82.26          
164             82.18           83.45          
162             76.24           84.36          
160             69.75           84.88          
158             65.02           84.79          
156             62.58           66.23          
154             62.15           47.41          
152             62.55           35.09          
150             63.26           28.76          
148             63.48           25.82          
146             64.67           24.35          
144             65.56           24.03          
142             65.01           23.79          
140             63.68           23.79          
138             60.20           23.71          
136             49.86           23.64          
134             37.44           23.43          
132             28.04           23.40          
130             22.52           23.36          
128             20.59           23.48          
126             21.09           23.54          
124             28.48           23.64          
122             39.82           23.88          
120             49.17           24.10          
118             54.98           25.00          
116             57.85           32.36          
114             58.18           33.61          
112             58.07           32.63          
110             56.48           31.18          
108             55.42           29.87          
106             55.54           40.38          
104             56.32           51.60          
102             56.84           59.04          
100             57.08           62.59          
98              57.07           63.90          
96              57.08           63.94          
94              56.97           63.70          
92              56.96           63.32          
90              56.96           63.03          
88              57.63           63.01          
86              56.57           62.76          
84              54.97           62.61          
82              56.04           62.59          
80              57.38           60.03          
78              58.51           60.46          
76              59.35           55.44          
74              59.50           54.13          
72              60.13           55.66          
70              60.65           52.38          
68              59.84           56.22          
66              60.55           54.36          
64              60.99           57.96          
62              62.00           59.63          
60              60.58           68.64          
58              60.54           77.10          
56              60.15           82.55          
54              59.66           85.19          
52              57.00           75.06          
50              55.65           74.99          
48              55.53           76.76          
46              54.21           80.09          
44              53.29           82.84          
42              53.12           84.48          
40              54.43           73.08          
38              53.45           72.23          
36              50.69           76.20          
34              48.63           80.46          
32              50.63           83.39          
30              53.59           84.91          
28              56.24           85.44          
26              56.77           85.47          
24              55.35           85.33          
22              55.53           85.17          
20              56.18           85.06          
18              57.43           85.00          
16              57.65           84.98          
14              59.04           84.98          
12              60.17           84.99          
10              60.95           84.99          
8               60.98           76.88          
6               58.93           76.89          
4               58.88           75.50          
2               39.24           49.87          
0               78.35           42.05          
Object#    Angle      Distance   Width     
1          31         23.64      50        

Count: 1
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             62.13           57.44          
178             82.62           80.27          
176             82.33           84.15          
174             73.95           80.14          
172             66.82           74.81          
170             62.26           70.89          
168             60.69           68.75          
166             60.10           67.91          
164             59.63           67.83          
162             59.37           67.64          
160             59.46           67.63          
158             59.46           66.66          
156             59.61           66.73          
154             60.26           65.90          
152             60.84           66.58          
150             60.47           67.56          
148             60.57           68.25          
146             61.25           68.77          
144             61.41           68.99          
142             61.35           69.20          
140             61.32           69.34          
138             62.08           69.44          
136             62.32           69.66          
134             62.81           69.95          
132             63.97           70.47          
130             64.92           70.99          
128             65.38           73.09          
126             65.79           73.65          
124             65.65           73.46          
122             63.71           77.24          
120             62.47           78.39          
118             61.72           80.98          
116             59.22           79.64          
114             57.85           80.98          
112             56.18           82.77          
110             54.87           84.11          
108             54.39           84.85          
106             52.65           85.15          
104             52.13           85.20          
102             53.28           85.15          
100             54.81           78.83          
98              56.19           78.78          
96              56.86           78.33          
94              57.81           80.40          
92              58.03           79.94          
90              58.48           78.59          
88              57.45           73.76          
86              57.75           63.55          
84              58.57           54.95          
82              59.95           49.39          
80              61.00           47.82          
78              61.52           47.03          
76              61.28           48.82          
74              59.24           49.67          
72              59.06           49.69          
70              59.55           49.45          
68              60.87           49.75          
66              61.37           49.88          
64              59.04           49.54          
62              58.10           48.47          
60              58.33           48.64          
58              58.64           46.22          
56              59.03           44.98          
54              57.32           39.01          
52              56.92           33.80          
50              56.63           30.19          
48              57.76           28.62          
46              58.70           30.10          
44              59.72           37.86          
42              58.91           45.84          
40              59.06           49.93          
38              58.73           51.47          
36              59.71           59.37          
34              57.91           70.55          
32              56.62           79.09          
30              59.58           83.91          
28              65.72           85.88          
26              74.19           86.24          
24              80.62           85.95          
22              84.22           85.54          
20              85.68           85.22          
18              85.94           85.04          
16              85.71           84.97          
14              85.40           84.95          
12              85.16           84.96          
10              85.03           84.98          
8               84.45           84.99          
6               82.05           85.00          
4               81.22           85.00          
2               53.87           56.67          
0               57.98           85.00          
Object#    Angle      Distance   Width     
1          79         85.88      146       

Count: 1
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             85.00           85.00          
178             113.33          113.33         
176             113.33          113.33         
174             103.89          102.59         
172             94.44           93.15          
170             88.15           87.28          
168             85.00           84.57          
166             83.95           83.81          
164             83.95           83.95          
162             84.30           84.35          
160             84.65           84.70          
158             84.88           84.92          
156             85.00           85.02          
154             85.04           85.04          
152             85.04           85.04          
150             85.03           85.02          
148             85.01           85.01          
146             85.00           85.00          
144             85.00           85.00          
142             85.00           85.00          
140             85.00           85.00          
138             85.00           76.33          
136             85.00           76.33          
134             85.00           75.88          
132             85.00           78.77          
130             85.00           81.81          
128             85.00           73.60          
126             85.00           70.26          
124             85.00           67.51          
122             85.00           60.87          
120             85.00           62.75          
118             85.00           59.50          
116             85.00           55.68          
114             85.00           62.05          
112             85.00           64.63          
110             85.00           62.62          
108             85.00           67.68          
106             85.00           69.79          
104             85.00           70.47          
102             85.00           74.39          
100             85.00           79.23          
98              85.00           82.77          
96              85.00           78.49          
94              85.00           76.60          
92              85.00           57.51          
90              85.00           36.66          
88              85.00           21.81          
86              85.00           13.97          
84              85.00           10.98          
82              82.28           10.59          
80              67.70           11.05          
78              45.87           11.62          
76              27.34           11.90          
74              15.69           11.97          
72              10.12           11.95          
70              8.23            11.90          
68              8.29            11.86          
66              8.96            11.77          
64              9.49            11.76          
62              9.96            11.78          
60              10.42           11.81          
58              10.96           11.85          
56              12.16           12.09          
54              16.20           12.41          
52              27.69           12.73          
50              48.46           13.03          
48              67.57           13.38          
46              79.75           16.22          
44              85.56           22.33          
42              87.31           30.78          
40              87.12           33.18          
38              86.35           32.42          
36              85.65           30.73          
34              85.19           29.29          
32              84.98           28.43          
30              84.91           28.96          
28              84.92           37.38          
26              84.95           56.06          
24              84.98           71.94          
22              83.14           67.63          
20              83.15           54.63          
18              83.77           41.44          
16              84.38           32.61          
14              84.80           28.13          
12              80.27           26.70          
10              80.34           30.43          
8               78.32           35.49          
6               77.46           43.16          
4               76.22           49.34          
2               50.40           34.95          
0               66.38           21.00          
Object#    Angle      Distance   Width     
1          126  6    12.41      120       

Count: 1
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             85.00           85.00          
178             113.33          113.33         
176             113.33          113.33         
174             103.89          103.89         
172             94.44           94.44          
170             88.15           88.15          
168             82.22           85.00          
166             81.17           83.95          
164             82.10           83.95          
162             83.37           84.30          
160             84.34           84.65          
158             84.88           80.74          
156             85.10           80.85          
154             85.14           76.27          
152             85.11           77.65          
150             85.06           80.56          
148             85.02           83.01          
146             85.00           84.49          
144             85.00           85.15          
142             84.99           85.32          
140             85.00           85.27          
138             85.00           83.80          
136             85.00           83.70          
134             85.00           84.11          
132             85.00           81.80          
130             85.00           76.10          
128             85.00           77.17          
126             85.00           75.75          
124             85.00           74.75          
122             85.00           74.69          
120             85.00           76.36          
118             85.00           76.99          
116             85.00           76.93          
114             85.00           76.50          
112             85.00           75.53          
110             85.00           75.33          
108             85.00           63.01          
106             85.00           41.26          
104             85.00           23.47          
102             83.57           12.91          
100             82.72           8.19           
98              76.71           6.89           
96              60.35           7.01           
94              39.11           7.49           
92              21.65           7.84           
90              10.89           8.03           
88              5.91            8.03           
86              4.48            7.96           
84              4.69            7.95           
82              5.32            7.84           
80              5.92            7.86           
78              6.31            7.91           
76              6.52            7.89           
74              6.62            7.92           
72              6.69            7.97           
70              6.88            8.08           
68              7.48            8.19           
66              10.19           8.49           
64              17.06           8.83           
62              31.46           9.02           
60              50.96           9.34           
58              68.80           9.54           
56              80.15           9.90           
54              85.55           35.05          
52              87.17           51.27          
50              86.98           67.92          
48              86.26           71.93          
46              85.60           77.62          
44              85.18           69.33          
42              84.98           61.82          
40              84.92           54.17          
38              84.93           43.02          
36              84.95           36.71          
34              84.98           33.95          
32              84.99           33.82          
30              85.00           49.83          
28              85.00           58.47          
26              85.00           69.83          
24              80.25           66.67          
22              76.26           54.74          
20              75.03           46.07          
18              73.22           40.41          
16              69.49           38.19          
14              69.66           40.80          
12              74.83           40.64          
10              79.95           38.34          
8               83.33           36.02          
6               85.02           33.71          
4               85.57           38.88          
2               57.23           27.64          
0               85.00           49.46          
Object#    Angle      Distance   Width     
1          116  6    8.83       110       

Count: 1
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             85.00           85.00          
178             113.33          113.33         
176             113.33          113.33         
174             103.89          103.89         
172             94.44           94.44          
170             88.15           88.15          
168             85.00           85.00          
166             83.95           83.95          
164             83.95           83.95          
162             84.30           84.30          
160             84.65           84.65          
158             84.88           60.58          
156             85.00           36.02          
154             85.04           19.48          
152             85.04           11.12          
150             85.03           8.23           
148             85.01           7.95           
146             73.41           8.56           
144             50.13           9.20           
142             28.80           9.55           
140             14.86           9.68           
138             7.87            9.59           
136             5.42            9.45           
134             5.29            9.34           
132             5.95            9.27           
130             6.70            9.24           
128             7.29            9.25           
126             7.78            9.37           
124             8.34            9.58           
122             10.44           9.75           
120             19.92           9.97           
118             37.26           10.22          
116             55.09           10.48          
114             67.79           10.68          
112             72.20           10.75          
