Angle (Degrees) DistIR (cm)     Dist PING (cm) 
52              39.02           33.28          
50              40.37           33.02          
48              40.86           33.27          
46              38.87           33.28          
44              40.92           33.27          
42              39.95           33.27          
40              36.08           33.05          
38              37.93           33.27          
36              35.74           33.27          
34              37.74           33.32          
32              37.93           33.37          
30              36.08           33.63          
28              37.50           33.43          
26              36.50           33.91          
24              38.92           33.96          
22              39.17           34.01          
20              39.84           34.53          
18              40.38           34.57          
16              41.02           34.88          
14              43.45           35.39          
12              46.78           35.46          
10              63.68           35.84          
8               75.62           40.00          
6               76.48           41.37          
4               83.33           44.88          
2               84.03           81.50          
0               85.00           85.00          
Object#    Angle      Distance   Width     
1          94   68   10.32      26        

Count: 1
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             21.33           19.57          
178             61.92           52.05          
176             66.57           74.84          
174             67.77           85.00          
172             65.20           64.16          
170             63.80           62.72          
168             63.91           62.92          
166             63.68           62.67          
164             63.51           61.94          
162             62.01           62.10          
160             60.91           61.16          
158             55.41           61.57          
156             60.33           60.83          
154             59.53           61.01          
152             59.69           60.96          
150             55.11           60.65          
148             59.15           59.95          
146             57.60           60.20          
144             53.91           59.98          
142             57.60           59.93          
140             57.31           59.93          
138             57.80           59.93          
136             57.70           59.87          
134             57.04           59.82          
132             56.76           59.82          
130             58.09           59.82          
128             53.12           59.62          
126             54.87           59.86          
124             52.65           59.88          
122             57.03           59.93          
120             57.03           59.93          
118             58.59           60.36          
116             58.44           60.21          
114             58.88           60.75          
112             59.75           60.55          
110             53.54           60.42          
108             59.69           11.39          
106             55.29           9.19           
104             59.91           8.81           
102             62.01           8.65           
100             61.15           9.07           
98              53.43           9.02           
96              31.55           8.51           
94              11.54           8.03           
92              7.36            7.57           
90              6.80            7.33           
88              6.43            7.10           
86              6.44            7.09           
84              6.28            6.87           
82              6.39            6.64           
80              6.40            6.64           
78              6.40            6.65           
76              6.39            6.87           
74              6.41            7.10           
72              6.36            7.10           
70              6.73            7.10           
68              7.63            7.57           
66              15.40           8.04           
64              38.17           8.56           
62              38.94           8.56           
60              37.63           8.66           
58              38.87           8.28           
56              34.99           8.30           
54              37.08           9.01           
52              35.06           22.18          
50              36.44           32.46          
48              37.22           32.43          
46              37.03           32.38          
